zone,metric,did_mean,did_se,soto_effect,anthony_effect,ci_low,ci_high,significant
Heart,Swing,-0.05659890738127655,0.028785372328687046,-0.04669164646522193,-0.10329055384649845,-0.11301823714550316,-1.7957761704993913e-4,TRUE
Shadow,Swing,-0.054102979425889965,0.03941794831357346,-0.056299362424099525,-0.11040234184998954,-0.13136215812049395,0.02315619926871402,FALSE
Chase,Swing,-0.010520681757744167,0.031237225291378064,-0.06231356980357553,-0.07283425156131973,-0.07174564332884517,0.050704279813356845,FALSE
Heart,Contact,-0.014560242201138498,0.027688950292131188,0.012316376462783413,-0.002243865738355049,-0.06883058477371562,0.03971010037143863,FALSE
Shadow,Contact,-0.013795803905142049,0.04972159618851452,0.013520527437220792,-2.7527646792145454e-4,-0.11125013243463051,0.0836585246243464,FALSE
Chase,Contact,-0.03117493983314228,0.08584487431964023,-0.014372317876940691,-0.04554725771008286,-0.19943089349963714,0.13708101383335256,FALSE
Heart,Exit Velocity,-0.8664847034343444,1.8140253498762031,4.796995185969073,3.930510482534727,-4.4219743891917025,2.6890049823230138,FALSE
Shadow,Exit Velocity,0.5408648026817526,2.855201973515867,3.093189480305835,3.6340542829875906,-5.055331065409346,6.137060670772852,FALSE
Chase,Exit Velocity,4.0650165848332644,6.188454440366051,1.6628194360092148,5.727836020842477,-8.064354118284196,16.194387287950725,FALSE
