plate_x,plate_z,zone,pred_League_2018,pred_Soto_2018,pred_League_2025,pred_Anthony_2025,pred_se_League_2018,pred_se_Soto_2018,pred_se_League_2025,pred_se_Anthony_2025,soto_effect,anthony_effect,did,did_se,z,significant,metric
-2,1,Chase,0.06324548544248357,0.03496719833741431,0.058259284664768235,0.029216980614474957,0.0020947612939454657,0.011734797206117456,0.002055245201552589,0.01200063037076211,-0.028278287105069258,-0.029042304050293278,-7.640169452240199e-4,0.017039150579811105,-0.044838910346227466,FALSE,Swing
-1.945945945945946,1,Chase,0.0702369871205695,0.038820296852196755,0.06492783977765822,0.03265155766116244,0.002158043288024337,0.01248020607290032,0.0021275017369057517,0.012859775691148587,-0.031416690268372745,-0.032276282116495775,-8.5959184812303e-4,0.018174509317234345,-0.047296564276863566,FALSE,Swing
-1.8918918918918919,1,Chase,0.07785457830506633,0.0430278763545903,0.07221667590559648,0.03643239323798794,0.002217358600778276,0.013241433680709765,0.0021960706353666096,0.013748349580595277,-0.034826701950476026,-0.03578428266760854,-9.575807171325126e-4,0.019341460325188846,-0.049509225313531906,FALSE,Swing
-1.8378378378378377,1,Chase,0.08611809163262156,0.047604978706334976,0.08014823881235794,0.040579167654603156,0.0022720741995103343,0.01401321419511302,0.002260174797064947,0.014661304838756205,-0.038513112926286584,-0.039569071157754786,-0.0010559582314682014,0.020532772412278407,-0.051427942133949155,FALSE,Swing
-1.7837837837837838,1,Chase,0.09504073981556375,0.05256380701108337,0.08873862808144102,0.045109544098295117,0.002321630105091738,0.014789647844831033,0.0023190919929174346,0.015592688863905588,-0.04247693280448039,-0.043629083983145904,-0.001152151178665517,0.021740142211981103,-0.052996487669273874,FALSE,Swing
-1.7297297297297298,1,Chase,0.10462792756338271,0.057913061335430775,0.09799634067863411,0.05003848761518431,0.00236557480803788,0.015564299972398239,0.002372193768196291,0.01653570330438253,-0.046714866227951936,-0.047957853063449796,-0.0012429868354978599,0.022954306019735294,-0.05415048638060258,FALSE,Swing
-1.6756756756756757,1,Chase,0.11487614723200229,0.06365726878750849,0.10792108114769447,0.05537754590502471,0.0024035928553089903,0.01633033107099808,0.0024189788530164873,0.017482802643071244,-0.0512188784444938,-0.05254353524266976,-0.0013246567981759633,0.024165198498055374,-0.05481671496646557,FALSE,Swing
-1.6216216216216215,1,Chase,0.12577203186612246,0.06979613943858703,0.11850271494492501,0.06113411906563148,0.002435517752295156,0.017080656658519756,0.0024590945339289447,0.018425834082168226,-0.05597589242753542,-0.05736859587929353,-0.0013927034517581052,0.025362158546905496,-0.054912654582708324,FALSE,Swing
-1.5675675675675675,1,Chase,0.13729165265833237,0.07632399082436489,0.1297204563224497,0.06731075772609252,0.0024613242195996995,0.017808134566526322,0.0024923399451250725,0.01935621983368082,-0.060967661833967485,-0.06240969859635717,-0.0014420367623896868,0.02653418131967411,-0.054346382314063336,FALSE,Swing
-1.5135135135135136,1,Chase,0.14940013306400957,0.08322927980609353,0.14154236899009498,0.07390452880505043,0.0024810992245832414,0.018505773367714376,0.002518649677640989,0.020265178489764224,-0.06617085325791604,-0.06763784018504455,-0.0014669869271285163,0.02767021063743675,-0.0530168326634904,FALSE,Swing
-1.4594594594594594,1,Chase,0.16205159243262857,0.09049424905001488,0.15392519829351078,0.0809064636883577,0.002495007838699932,0.01916694992781721,0.0025380707516911584,0.021143974943841827,-0.07155734338261369,-0.07301873460515308,-0.001461391222539396,0.028759459543201214,-0.050814279744866464,FALSE,Swing
-1.4054054054054053,1,Chase,0.17518938468835327,0.0980946707765881,0.1668145049531332,0.08830108332712579,0.0025032740782010223,0.01978562148576172,0.00255075009691758,0.02198418409282041,-0.07709471391176517,-0.07851342162600743,-0.0014187077142422538,0.029791741724383487,-0.047620838263413505,FALSE,Swing
-1.3513513513513513,1,Chase,0.18874663201116235,0.10599969916602744,0.18014510531007302,0.09606601992332192,0.0025061802297630777,0.020356521746757124,0.0025569356229336597,0.02277795662683714,-0.0827469328451349,-0.0840790853867511,-0.0013321525416161994,0.0307577981143669,-0.043311050311951746,FALSE,Swing
-1.2972972972972974,1,Chase,0.20264709509717113,0.11417187891743981,0.1938418664840645,0.10417178786639468,0.002504068318846775,0.020875333460012583,0.0025569764823135986,0.023518277357566206,-0.08847521617973132,-0.08967007861766983,-0.0011948624379385098,0.0316496035332307,-0.03775284062196724,FALSE,Swing
-1.2432432432432432,1,Chase,0.21680639611516597,0.12256735043710669,0.20782087919706976,0.1125817525595027,0.002497333907691657,0.021338828900533364,0.0025513138324220874,0.02419920390289226,-0.09423904567805928,-0.09523912663756706,-0.0010000809595077792,0.03246063719796654,-0.03080903660050235,FALSE,Swing
-1.189189189189189,1,Chase,0.23113357511027957,0.13113627616710882,0.22199099347371043,0.1212523328706703,0.0024864074877936283,0.021744969742489188,0.0025404578672715674,0.02481607215880719,-0.09999729894317075,-0.10073866060304013,-7.413616598693773e-4,0.03318610092890748,-0.02233952284595139,FALSE,Swing
-1.135135135135135,1,Chase,0.2455329554197489,0.13982351399329723,0.23625569491174314,0.1301334744132124,0.0024717296850621296,0.022092961618461908,0.0025249570277685726,0.025365657881407294,-0.10570944142645167,-0.10612222049853073,-4.1277907207906694e-4,0.03382307508875451,-0.012204066927560576,FALSE,Swing
-1.0810810810810811,1,Chase,0.2599062634204306,0.14856954598645106,0.25051526679645203,0.13916941375302555,0.0024537257113235933,0.022383260348960963,0.002505364835179807,0.025846284739294966,-0.11133671743397955,-0.11134585304342648,-9.135609446930815e-6,0.034370603740665445,-2.657971770254956e-4,FALSE,Swing
