plate_x,plate_z,zone,pred_League_2018,pred_Soto_2018,pred_League_2025,pred_Anthony_2025,pred_se_League_2018,pred_se_Soto_2018,pred_se_League_2025,pred_se_Anthony_2025,soto_effect,anthony_effect,did,did_se,z,significant,metric
-2,1,Chase,0.03696547396424981,0.017901487383635045,0.024955310807511764,0.004813977611038226,0.004633179214514424,0.007879361291268068,0.0034213138097021335,0.0024941129349923875,-0.019063986580614766,-0.020141333196473536,-0.00107734661585877,0.010073562999708543,-0.1069479206006793,FALSE,Contact
-1.945945945945946,1,Chase,0.04137270544855095,0.020095567997204564,0.028086679629405916,0.0054113111633101,0.0048329939961266714,0.008574415599880699,0.0036033465377533695,0.0027290774612095245,-0.021277137451346385,-0.022675368466095816,-0.0013982310147494306,0.010830992747966133,-0.1290953698599783,FALSE,Contact
-1.8918918918918919,1,Chase,0.04640253872523819,0.022615281367021303,0.03169526703947892,0.006099965219826937,0.005039599064133982,0.009348667734739243,0.003796673334536468,0.0029937255553597877,-0.023787257358216886,-0.025595301819651983,-0.0018080444614350967,0.01166928739262896,-0.15494043471559102,FALSE,Contact
-1.8378378378378377,1,Chase,0.052130912343080586,0.025505813827735462,0.035848596632372956,0.006893441606203942,0.005250874313881805,0.010208741353935015,0.004000414809376126,0.0032913456573710922,-0.026625098515345124,-0.028955155026169015,-0.0023300565108238906,0.012594695549122974,-0.18500300398179478,FALSE,Contact
-1.7837837837837838,1,Chase,0.05863425506644757,0.0288150037803767,0.04061808945606897,0.007806357957325908,0.005463904866380987,0.011160426845236555,0.004213015811727124,0.0036252105730504745,-0.029819251286070873,-0.032811731498743064,-0.002992480212672191,0.013612532375923237,-0.21983273427985023,FALSE,Contact
-1.7297297297297298,1,Chase,0.0659925521982575,0.03259548665583467,0.04608195006012767,0.008855158009672685,0.005675458410114386,0.012209358809875465,0.004432588624518817,0.003998857626551243,-0.03339706554242283,-0.03722679205045498,-0.0038297265080321496,0.014728135487727645,-0.2600279248668852,FALSE,Contact
-1.6756756756756757,1,Chase,0.07428127651115878,0.03690116636162856,0.05231970492248617,0.010057248052403106,0.0058814194650084525,0.013359622209512248,0.0046563743855600895,0.004415653775755744,-0.037380110149530216,-0.042262456870083065,-0.004882346720552849,0.015945231926507663,-0.30619477615978363,FALSE,Contact
-1.6216216216216215,1,Chase,0.08356198753648106,0.041782811210211296,0.05940531205827045,0.011429871131966467,0.0060766216996047066,0.014612393265617621,0.0048804553694321235,0.004878331322485721,-0.04177917632626976,-0.047975440926303986,-0.006196264600034224,0.017264539650223464,-0.35890123487619446,FALSE,Contact
-1.5675675675675675,1,Chase,0.0938868284034867,0.0472908981026701,0.06741073399852483,0.012991046511747933,0.0062558829963230205,0.015967166601765337,0.005100539077436188,0.0053894325667567565,-0.046595930300816595,-0.0544196874867769,-0.007823757185960303,0.018685501428227336,-0.4187073713816055,FALSE,Contact
-1.5135135135135136,1,Chase,0.10529046086220627,0.05347161017031869,0.07639943933498919,0.014758556542654478,0.006413915412669569,0.017420702049955872,0.005311779635584683,0.0059509271155807645,-0.051818850691887575,-0.06164088279233471,-0.009822032100447138,0.02020514061485798,-0.48611550335979564,FALSE,Contact
-1.4594594594594594,1,Chase,0.11778235334590147,0.06036252959562559,0.08641941612390745,0.016748790444081216,0.00654552189947537,0.01896619920854185,0.005508827956453263,0.006563851585942283,-0.05741982375027588,-0.06967062567982624,-0.012250801929550359,0.02181723865319998,-0.5615193620185068,FALSE,Contact
-1.4054054054054053,1,Chase,0.13133903699855876,0.06798766698789502,0.09749530072084449,0.01897530265459222,0.0066460391025193735,0.02059262096963498,0.00568610170565287,0.007227926283936954,-0.06335137001066374,-0.07851999806625226,-0.015168628055588523,0.023511710808112665,-0.6451520342090385,FALSE,Contact
-1.3513513513513513,1,Chase,0.14590903252410722,0.07635939886297011,0.10963085898125609,0.021449343712215584,0.006712227482778906,0.02228609967200407,0.005838684257262358,0.007941944156325632,-0.06954963366113712,-0.0881815152690405,-0.018631881607903383,0.025276252633831434,-0.7371299012483054,FALSE,Contact
-1.2972972972972974,1,Chase,0.16140588541804166,0.0854725265085471,0.1228001292167963,0.024177930568742664,0.00674224730730395,0.02402922313793668,0.0059623261323211345,0.0087032748764773165,-0.07593335890949456,-0.09862219864805363,-0.022688839738559077,0.027095346276607715,-0.8373703552977687,FALSE,Contact
-1.2432432432432432,1,Chase,0.17770722860955848,0.0953012265909222,0.136943309422212,0.027162606918762332,0.00673601228490621,0.02580139512494729,0.006053897164573208,0.009507709721908373,-0.08240600201863628,-0.10978070250344966,-0.027374700484813386,0.028950510650614776,-0.9455688300348537,FALSE,Contact
-1.189189189189189,1,Chase,0.19465899329562367,0.10579859440286214,0.15196694987925147,0.030398835088262473,0.006695406343023997,0.027579888435658666,0.006111847202503488,0.010349558363162635,-0.08886039889276152,-0.121568114790989,-0.03270771589822748,0.030821206121124527,-1.0612081749717754,FALSE,Contact
-1.135135135135135,1,Chase,0.21207949062742723,0.11689543167307663,0.16774351427558895,0.03387497982564768,0.0066242059672679396,0.02934070077631148,0.006136375955130292,0.011221637960988051,-0.0951840589543506,-0.13386853444994126,-0.03868447549559066,0.032685426341597906,-1.1835389598806585,FALSE,Contact
-1.0810810810810811,1,Chase,0.22976721868705519,0.12850225730412035,0.1841161761667313,0.037572218417676176,0.0065278106523620465,0.031059945203156723,0.006129586634490907,0.012115544537115393,-0.10126496138293484,-0.1465439577490551,-0.04527899636612026,0.03452087426002919,-1.3116410675191854,FALSE,Contact
