metric,did_mean,did_se,soto_effect,anthony_effect,ci_low,ci_high,significant
Swing,-0.02509934894306743,0.033086272208927056,-0.05939272662822785,-0.08449207557129522,-0.08994844247256445,0.039749744586429596,FALSE
Contact,-0.025534152006047237,0.07477544191901371,-0.005316838322574593,-0.0308509903286217,-0.17209401816731412,0.12102571415521964,FALSE
Exit Velocity,2.767854322725461,5.282575849229324,2.300452383826972,5.068306706552423,-7.585994341764014,13.121702987214935,FALSE
