pitch_category,zone,did_mean,did_se,soto_mean,anthony_mean,ci_low,ci_high,sig
fastball,Heart,-0.021781758520609307,0.02845431933115688,0.018555967164892873,-0.003225791355716397,-0.07755222440967678,0.033988707368458174,FALSE
fastball,Shadow,-0.02473471466109142,0.05521104030503847,0.022556141396967926,-0.002178573264123606,-0.13294835365896682,0.08347892433678397,FALSE
fastball,Chase,-0.03575760715272815,0.09733771552566446,0.01324241664342896,-0.022515190509299093,-0.2265395295830305,0.15502431527757418,FALSE
breaking,Heart,-0.0018097997083286203,0.04980251442125343,-3.257632253436362e-4,-0.002135562933672254,-0.09942272797398534,0.0958031285573281,FALSE
breaking,Shadow,0.005857925252362397,0.07624098575854948,-0.006027982242676369,-1.7005699031390838e-4,-0.1435744068343946,0.1552902573391194,FALSE
breaking,Chase,0.00994476215493822,0.10874826149036759,-0.018010727187243194,-0.008065965032305344,-0.20320183036618225,0.2230913546760587,FALSE
offspeed,Heart,-0.03082978118516144,0.06372655506735404,-0.01990036666188243,-0.05073014784704387,-0.15573382911717537,0.09407426674685249,FALSE
offspeed,Shadow,-0.03070669705688718,0.0894187482672153,-0.030615148706365416,-0.0613218457632525,-0.20596744366062913,0.1445540495468548,FALSE
offspeed,Chase,-0.012959378437099963,0.11447018847584735,-0.04305135492258503,-0.05601073335968518,-0.23732094784976077,0.21140219097556084,FALSE
