zone,did_mean,did_se,soto_mean,anthony_mean,ci_low,ci_high,sig
Heart,-0.02195781363968351,0.025985923118044475,0.008663385619629404,-0.01329442802005412,-0.07289022295105067,0.028974595671683655,FALSE
Shadow,-0.027221843157504873,0.04995740933589956,0.007223293523658764,-0.019998549633846136,-0.125138365455868,0.07069467914085825,FALSE
Chase,-0.02258501922121552,0.09149156203297448,-0.0034462775597943794,-0.026031296781009895,-0.2019084808058455,0.15673844236341444,FALSE
